   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 980,          1437,             459,           1053,      5023,           0,       5787
 981,          1441,             462,           1222,      5023,           0,       5491
 982,          1442,             462,           1058,      5035,           0,       5773
 983,          1443,             462,           1188,      5048,           0,       5672
 984,          1444,             462,           1063,      5041,           0,       5760
 985,          1446,             463,           1076,      5045,           0,       5732
 986,          1447,             463,           1104,      5058,           0,       5556
 987,          1448,             463,           1142,      5058,           0,       5817
 988,          1449,             463,           1069,      5072,           0,       5686
 989,          1450,             463,           1260,      5076,           0,       5785
 990,          1451,             463,           1073,      5084,           0,       5531
 991,          1452,             463,           1173,      5078,           0,       5826
 992,          1453,             463,           1069,      5102,           0,       5548
 993,          1455,             464,           1067,      5103,           0,       6074
 994,          1456,             464,           1069,      5116,           0,       5573
 995,          1457,             464,           1066,      5123,           0,       5893
 996,          1458,             464,           1237,      5131,           0,       5586
