   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 235,         13739,           13509,          15290,      1559,           0,       1503
 236,         13928,           13697,          15728,      1571,           0,       1499
 237,         14014,           13782,          15321,      1571,           0,       1499
 238,         14030,           13797,          16527,      1589,           0,       1528
 239,         14197,           13963,          19253,      1602,           0,       1684
 240,         14198,           13963,          17772,      1601,           0,       1816
 241,         14363,           14127,          21694,      1610,           0,       1873
 242,         14379,           14142,          26958,      1615,           0,       2573
 243,         14610,           14372,          19294,      1627,           0,       2171
 244,         14710,           14471,          20339,      1630,           0,       1636
 245,         14947,           14707,          26739,      1636,           0,       1783
 246,         15105,           14864,          24857,      1651,           0,       3333
 247,         15307,           15065,          21683,      1658,           0,       2093
 248,         15412,           15169,          21036,      1660,           0,       1967
 249,         15477,           15233,          17502,      1667,           0,       1599
 250,         15490,           15245,          17944,      1681,           0,       1607
 251,         15503,           15257,          17535,      1683,           0,       1613
 252,         15621,           15374,          17663,      1703,           0,       1614
 253,         15769,           15521,          17807,      1703,           0,       1623
 254,         15802,           15553,          17958,      1712,           0,       1641
 255,         15933,           15683,          17585,      1715,           0,       1636
 256,         16183,           15932,          18324,      1734,           0,       1648
 257,         16408,           16156,          18440,      1743,           0,       1662
 258,         16665,           16412,          18921,      1740,           0,       1673
 259,         16796,           16542,          19008,      1754,           0,       1676
 260,         16854,           16599,          18595,      1748,           0,       1667
 261,         17113,           16857,          22650,      1759,           0,       2360
 262,         17342,           17085,          21469,      1776,           0,       1718
 263,         17597,           17339,          20735,      1785,           0,       1790
 264,         17803,           17544,          19932,      1796,           0,       1719
 265,         17876,           17616,          20112,      1803,           0,       1773
 266,         17925,           17664,          20238,      1804,           0,       1736
 267,         18047,           17785,          20451,      1823,           0,       1739
 268,         18259,           17996,          20444,      1816,           0,       1754
 269,         18350,           18086,          20769,      1826,           0,       1755
 270,         18510,           18245,          20569,      1847,           0,       1775
 271,         18687,           18421,          21069,      1848,           0,       1782
 272,         18949,           18682,          21410,      1868,           0,       1790
 273,         18988,           18720,          20901,      1876,           0,       1802
 274,         19048,           18779,          21043,      1879,           0,       1802
 275,         19146,           18876,          21672,      1889,           0,       1798
 276,         19338,           19067,          21802,      1895,           0,       1804
 277,         19443,           19171,          22027,      1907,           0,       1811
 278,         19464,           19191,          22012,      1905,           0,       1813
 279,         19523,           19249,          22340,      1914,           0,       2213
 280,         19673,           19398,          25766,      1919,           0,       1841
 281,         19787,           19511,          22796,      1925,           0,       1851
 282,         20023,           19746,          22319,      1947,           0,       2978
 283,         20118,           19840,          22859,      1948,           0,       1882
 284,         20314,           20035,          23113,      1956,           0,       1879
 285,         20320,           20040,          22794,      1965,           0,       1873
 286,         20573,           20292,          23162,      1975,           0,       1876
 287,         20582,           20300,          23288,      1989,           0,       1899
 288,         20603,           20320,          23360,      1992,           0,       1921
 289,         20724,           20440,          23371,      2001,           0,       1923
 290,         20929,           20644,          23828,      2013,           0,       1921
 291,         21152,           20866,          23779,      2019,           0,       1942
 292,         21410,           21123,          24139,      2032,           0,       1946
 293,         21682,           21394,          24223,      2036,           0,       1944
 294,         21843,           21554,          24707,      2045,           0,       1953
 295,         21889,           21599,          24604,      2067,           0,       1980
 296,         22050,           21759,          24502,      2050,           0,       1971
 297,         22113,           21821,          24803,      2061,           0,       1960
 298,         22281,           21988,          25160,      2070,           0,       1979
 299,         22519,           22225,          24801,      2082,           0,       1985
 300,         22660,           22365,          25526,      2096,           0,       1988
 301,         22837,           22541,          25917,      2099,           0,       1998
 302,         23000,           22703,          34679,      2105,           0,       5802
 303,         23234,           22936,          26881,      2111,           0,       2192
 304,         23500,           23201,          26213,      2118,           0,       2039
